Gene.symbol
A2M
ABCA3
ABCA8
ABCG2
ABI3BP
ACACB
ACADL
ACE
ACKR1
ACKR4
ACOXL
ACP5
ACSL5
ACTG1P4
ACVRL1
ADAMTS1
ADAMTS8
ADAMTSL3
ADAMTSL4
ADARB1
ADGRD1
ADGRE5
ADGRF5
ADGRG6
ADH1B
ADIRF
ADRB1
ADRB2
ADTRP
AFF3
AGER
AGR3
AGTR1
AGTR2
AK1
AKAP12
AKAP2
ALDH1A2
ALDH2
ALDH3B1
ALOX15B
ALOX5
ALOX5AP
ALPL
AMY1A
AMY1B
AMY1C
AMY2A
AMY2B
ANGPT1
ANK2
ANKRD20A1
ANKRD20A11P
ANKRD20A2
ANKRD20A3
ANKRD20A4
ANKRD20A5P
ANKRD20A9P
ANKRD29
ANKRD44
ANOS1
ANPEP
ANXA3
AOC3
AOX1
APOH
AQP1
AQP4
ARAP2
AREG
ARGLU1
ARHGAP18
ARHGAP29
ARHGAP31
ARHGAP44
ARHGAP6
ARHGEF15
ARHGEF26
ARRB1
ASPA
ATOH8
ATP13A4-AS1
ATP5S
ATP8A1
BCHE
BMP2
BMP5
BTNL9
C10ORF128
C11ORF96
C14ORF132
C16ORF54
C16ORF89
C1ORF116
C1ORF162
C1ORF21
C1QTNF7
C2ORF40
C4BPA
C5AR1
C7
CA2
CA4
CAB39L
CACNA2D2
CADM1
CALCRL
CAMK2N1
CAPN3
CARD16
CAT
CAV1
CAV2
CCBE1
CCDC50
CCDC68
CCDC69
CCDC85A
CCL14
CCL15-CCL14
CCL2
CCL23
CCM2L
CCRL2
CD300LF
CD300LG
CD302
CD36
CD47
CD52
CD55
CD69
CD83
CD93
CDH5
CDKL2
CDKN2B
CDO1
CEBPD
CELF2
CES1
CFD
CFL2
CFLAR
CFTR
CGNL1
CH25H
CHI3L2
CHRDL1
CITED2
CLDN18
CLDN22
CLDN5
CLEC12A
CLEC14A
CLEC1A
CLEC3B
CLIC2
CLIC3
CLIC5
CLU
CMAHP
COBL
COL13A1
COL4A3
COL4A4
COL6A6
COLEC12
COX7A1
CPA3
CPB2
CPED1
CPM
CRIP1
CRTAC1
CSF3
CSF3R
CSRNP1
CST6
CTSH
CX3CR1
CXCL17
CXCL2
CXCL3
CXCL5
CXCR2
CYB5A
CYBRD1
CYP2B6
CYP2B7P
CYP4B1
CYYR1
DAB2
DACH1
DAPK1
DAPK2
DCN
DDX3Y
DEFA1
DEFA1B
DEFA3
DENND3
DES
DKK2
DLC1
DMBT1
DMD
DNAJC15
DNALI1
DNASE1L3
DOCK4
DOCK8
DPEP2
DPYSL2
DRAM1
DUOX1
DUSP1
ECM2
ECSCR
EDN1
EDNRB
EFEMP1
EIF1
EMCN
EMP1
EMP2
EP300-AS1
EPAS1
EPB41L5
ERG
ESAM
ETV1
EXOSC7
F8
FABP4
FAM107A
FAM13C
FAM150B
FAM162B
FAM184A
FAM189A2
FAM20A
FAM46B
FAM49A
FAR2
FAT3
FAXDC2
FBLN5
FBP1
FCER1A
FCN1
FCN3
FGD5
FGFR4
FGG
FGR
FHL1
FHL5
FIBIN
FIGF
FILIP1
FLI1
FLJ35700
FLRT3
FMO2
FOLR1
FOS
FOSB
FOXA2
FOXF1
FRMD3
FRY
FXYD1
G0S2
GADD45B
GATA2
GATA6
GDF10
GGT1
GGT2
GGT3P
GGTA1P
GGTLC1
GGTLC2
GIMAP1
GIMAP1-GIMAP5
GIMAP5
GIMAP6
GIMAP7
GIMAP8
GKN2
GLDN
GLIPR2
GNAQ
GNG11
GPD1
GPD1L
GPIHBP1
GPM6A
GPM6B
GPR146
GPRC5A
GPX3
GRAMD2
GRIA1
GRK5
GSAP
GUCY1A2
H3F3A
H3F3B
HACD4
HAGLR
HBA1
HBA2
HBB
HBEGF
HBG1
HBG2
HECW2
HGF
HHIP
HIGD1B
HLA-DMA
HLA-E
HLF
HOPX
HOXA5
HPGD
HPGDS
HSD17B6
HSPA12B
HSPB8
HYAL1
ICAM1
ICAM2
ICAM4
ID4
IFT57
IGSF10
IL1RL1
IL33
IL6
INMT
IRAK3
IRX2
ITGA1
ITGA8
ITGAL
ITIH5
ITM2A
JAM2
JAML
KANK2
KANK3
KCNJ15
KCNJ5
KCNK3
KCNT2
KIAA1324L
KIAA1462
KL
KLF2
KLF4
KLF9
KLRF1
LAMP3
LDB2
LEPR
LEPROT
LHFP
LIFR
LILRA2
LIMCH1
LIN7A
LINC00261
LINC00312
LINC00341
LINC00968
LINC01140
LMO2
LMO3
LMO7
LMOD1
LOC100132705
LOC100653057
LOC101060604
LOC101926921
LOC101926959
LOC101927057
LOC101928429
LOC101928635
LOC101930344
LOC101930349
LOC102723891
LOC102724197
LOC102725051
LOC105375172
LOC105379426
LOC643733
LPL
LRRC32
LRRC36
LRRFIP1
LRRK2
LRRN3
LRRN4
LST1
LY75
LY75-CD302
LYVE1
MACROD2
MAGI2-AS3
MAGI3
MAL
MAMDC2
MAOA
MAOB
MAP3K8
MARCO
MCEMP1
METTL7A
MFAP4
MGLL
MGP
MIR22
MIR22HG
MIR29B2
MIR29C
MIR3945HG
MIR4738
MLPH
MME
MMP19
MMP28
MMRN1
MMRN2
MNDA
MRC1
MS4A2
MS4A7
MSLN
MSR1
MSRB3
MT1M
MUC1
MUC15
MUSTN1
MYADM
MYCT1
MYH11
MYOCD
MYRF
MYZAP
NAPSA
NAPSB
NCF2
NCKAP5
NDNF
NEBL
NEDD4L
NEDD9
NEGR1
NEXN
NFKBIZ
NKX2-1
NLRC4
NOSTRIN
NOTCH4
NPNT
NPR1
NR2F1
NR3C2
NR4A1
NR4A2
NR4A3
NRGN
NTN4
OGN
OLR1
OMG
OR7E47P
OSCAR
P2RY14
PALM2-AKAP2
PALMD
PAPSS2
PAQR5
PARD6B
PARM1
PARP8
PCAT19
PCDH9
PCOLCE2
PDE5A
PDK4
PDLIM2
PDZD2
PEBP4
PECAM1
PGC
PGM5
PGM5-AS1
PHACTR1
PHACTR2
PID1
PIGR
PIP5K1B
PIR-FIGF
PLA1A
PLA2G1B
PLAC8
PLAC9
PLEKHH2
PLLP
PLN
PLSCR4
PPARG
PPBP
PPP1R14A
PPP1R15A
PRDM16
PRELP
PRKCB
PRKCE
PROK2
PROS1
PTGDS
PTGS2
PTPN21
PTPRB
PTPRM
PTX3
QKI
RAB11FIP1
RAB27A
RAI2
RAMP2
RAMP3
RAP1A
RASGRF1
RASIP1
RASL12
RBMS2
RBMS3
RBP4
RCAN2
RECK
RERG
RETN
RFX2
RGCC
RGS13
RHOJ
RNASE1
RNASE4
RND1
RNF128
ROBO2
ROBO4
ROR1
RPS6KA2
RRAD
RTKN2
RTN1
RUFY2
S100A10
S100A12
S100A4
S1PR1
SAMD9L
SASH1
SCAI
SCARA5
SCEL
SCGB1A1
SCGB3A1
SCGB3A2
SCN4B
SCN7A
SCNN1B
SDPR
SDR16C5
SELE
SELENBP1
SELP
SEMA3G
SEMA5A
SEPP1
SERPINA1
SERTM1
SFTA1P
SFTA2
SFTA3
SFTPA1
SFTPA2
SFTPB
SFTPC
SFTPD
SGCG
SGMS2
SH2D3C
SHANK3
SHC3
SHE
SHROOM3
SLC11A1
SLC14A1
SLC15A2
SLC16A5
SLC1A1
SLC22A3
SLC26A9
SLC27A3
SLC34A2
SLC39A8
SLC46A2
SLC4A4
SLC6A14
SLC6A4
SLC7A5P1
SLC7A5P2
SLCO2A1
SLCO4C1
SLIT2
SLPI
SMAD6
SNX25
SNX30
SOCS2
SOCS3
SORBS1
SORBS2
SOX17
SOX7
SPARCL1
SPIDR
SPOCK2
SPRY4-IT1
SPTBN1
SRPX
SSTR1
ST6GALNAC5
STAC
STARD13
STEAP4
STX11
STXBP6
SUSD2
SYNC
SYNE1
SYNE3
SYNPO2
TAL1
TARP
TBX2
TBX5
TBX5-AS1
TCEAL2
TCF21
TEK
TFPI
TGFBR2
TGFBR3
THBD
TIE1
TIMP3
TLR3
TLR8
TMC5
TMEM100
TMEM108
TMEM110
TMEM110-MUSTN1
TMEM125
TMEM139
TMEM163
TMEM178A
TMEM204
TMEM47
TMPRSS2
TNFSF12-TNFSF13
TNFSF13
TNNC1
TNS1
TNS2
TNXA
TNXB
TOX2
TPPP
TPPP3
TPSAB1
TPSB2
TREM1
TRGC2
