Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
63,Circadian entrainment,0.06033274769084247,2.096395131086142,5.886426470545017,GRIA1;GUCY1A2;KCNJ5;PRKCB;GNAQ;FOS;GNG11,0.26048424399855796
64,Fatty acid degradation,0.06780372835927817,2.7601936525013446,7.428062287817727,ACADL;ALDH2;ADH1B;ACSL5,0.28816584552693225
65,Amoebiasis,0.07472005148964908,1.9855410999408634,5.150507106905462,IL6;PRKCB;COL4A4;GNAQ;COL4A3;CXCL3;CXCL2,0.3079371818967356
66,Chagas disease,0.07472005148964908,1.9855410999408634,5.150507106905462,IL6;ACE;GNAQ;CCL2;FOS;CFLAR;TGFBR2,0.3079371818967356
67,ABC transporters,0.07748600411573013,2.625277161862528,6.7145610065813335,ABCA3;ABCA8;CFTR;ABCG2,0.31457004655938203
68,cGMP-PKG signaling pathway,0.07953300257614043,1.7180383243646296,4.349356987641897,GUCY1A2;EDNRB;PLN;NPR1;PRKCE;GNAQ;AGTR1;ADRB1;PDE5A;ADRB2,0.31813201030456173
69,NF-kappa B signaling pathway,0.08099353168675126,1.9443993976601412,4.887026191855464,GADD45B;PRKCB;CFLAR;CXCL3;PTGS2;CXCL2;ICAM1,0.3192788495477731
70,cAMP signaling pathway,0.09067445413221148,1.587236874947999,3.8101297607090276,GRIA1;EDN1;RAP1A;PLN;NPR1;HHIP;FXYD1;ADRB1;FOS;ADRB2;SSTR1;CFTR,0.342653622526041
71,Chemical carcinogenesis,0.09139082983090523,1.5525270124595754,3.714591865854886,MIR29B2;PAQR5;PRKCB;MIR29C;ADRB1;ARRB1;FOS;ADRB2;PTGS2;KLF4;HPGDS;CYP2B6;RPS6KA2,0.342653622526041
72,beta-Alanine metabolism,0.09175865639420415,2.9878957169459963,7.136868135425334,AOC3;ALDH2;ALDH3B1,0.342653622526041
73,Long-term potentiation,0.09291330104038165,2.170755398933767,5.157906869210857,GRIA1;RAP1A;PRKCB;RPS6KA2;GNAQ,0.342653622526041
