
Upregulated Overlapping Genes
Gene.symbol
ADAM12
ADAMDEC1
AK4
AKR1B10
AKR1C1
ANKRD22
ANLN
ANP32E
APOBEC3B
ARNTL2
ASF1B
ASPM
ATAD2
AURKA
AURKB
BAIAP2L1
BCL11A
BIRC5
BRIP1
BUB1
BUB1B
C12ORF56
C1ORF112
CABYR
CALML3
CBX2
CCDC34
CCNA2
CCNB1
CCNB2
CCNE1
CCNE2
CD24
CDC20
CDC45
CDC6
CDCA2
CDCA3
CDCA5
CDCA7
CDCA8
CDH3
CDK1
CDKN2A
CDKN3
CDT1
CENPA
CENPE
CENPF
CENPK
CENPN
CENPU
CENPW
CEP55
CHEK1
CKAP2
CKMT1A
CKMT1B
CKS1B
CLCA2
CNTNAP2
COCH
COL10A1
COL11A1
COL12A1
COL1A1
COL1A2
COL3A1
COL5A2
CP
CRABP2
CST1
CTHRC1
CTSV
CTTN
CXCL13
CXCL14
DAPL1
DEPDC1
DEPDC1B
DIO2
DLGAP5
DNAH14
DSC3
DSG2
DSG3
DSP
DST
DTL
DUXAP10
E2F7
E2F8
ECT2
EGLN3
EIF4EBP1
EPT1
ERO1A
EXO1
EZH2
F12
FAM60A
FAM64A
FAM72A
FAM72B
FAM72C
FAM72D
FAM83A
FAM83B
FAM83D
FANCI
FAP
FBXO32
FEN1
FERMT1
FIGNL1
FNDC1
FOXM1
GALNT14
GAPDH
GCLC
GGH
GINS1
GINS2
GJB2
GJB6
GMNN
GOLM1
GPR87
GPT2
GPX2
GREM1
GTSE1
HELLS
HILPDA
HIST1H2BD
HIST1H2BG
HIST1H2BJ
HJURP
HMGA1
HMGA2
HMGB3
HMGB3P1
HMMR
HN1
HRASLS
HS6ST2
IFT80
IGF2BP3
IGFBP2
IGFBP3
IGH
IGHA1
IGHA2
IGHD
IGHG1
IGHG3
IGHG4
IGHM
IGHV3-23
IGHV4-31
IGSF9
IRF6
JUP
KIAA0101
KIF11
KIF14
KIF15
KIF18B
KIF20A
KIF23
KIF26B
KIF2C
KIF4A
KISS1R
KNL1
KNTC1
KPNA2
KRT13
KRT14
KRT15
KRT16
KRT17
KRT5
KRT6A
KRT6B
KRT6C
LGR4
LINC00511
LINC00673
LINC01296
LOC100507855
LRRC15
LY6K
MAD2L1
MAGEA12
MAGEA3
MAGEA6
MAGED4
MAGED4B
MCM10
MCM2
MCM4
MCM7
MDK
MELK
MIF
MIR3658
MKI67
MLLT11
MMP1
MMP10
MMP11
MMP12
MMP9
MND1
MSI2
MYBL2
NCAPG
NCAPG2
NCAPH
NDC80
NEFL
NEK2
NME1
NMRAL1P1
NMU
NQO1
NTS
NUF2
NUSAP1
OIP5
PAFAH1B3
PAICS
PBK
PDK1
PERP
PFN2
PI15
PKP1
PLOD2
PLPP2
POLE2
POSTN
PPAT
PPP2R2C
PRAME
PRC1
PRR11
PSAT1
PTHLH
PTPRZ1
PTTG1
RACGAP1
RAD51
RAD51AP1
RFC4
RMI2
RNASEH2A
RPL39L
RRM2
S100A2
SCG5
SERPINB13
SERPINB5
SESN3
SGO2
SHCBP1
SIX1
SIX4
SLC2A1
SLC2A5
SLC35F6
SLC6A10P
SLC6A10PB
SLC6A8
SLC7A11
SLC7A5
SNORA11D
SNORA11E
SORD
SOX2
SOX4
SPAG5
SPC25
SPINK1
SPP1
SPRR1A
SPRR1B
SPRR3
SRD5A1
STIL
SULF1
TFAP2A
THBS2
TIMELESS
TK1
TMPRSS4
TNPO1
TOP2A
TP63
TPD52
TPX2
TRIM59
TRIP13
TROAP
TTK
TWIST1
TYMS
UBE2C
UBE2S
UBE2T
UCHL1
UCK2
UGT1A1
UGT1A10
UGT1A3
UGT1A4
UGT1A5
UGT1A6
UGT1A7
UGT1A8
UGT1A9
UGT8
UHRF1
WDR72
WISP1
ZWILCH
ZWINT


