Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
180,Signaling pathways regulating pluripotency of stem cells,0.9068116679606454,0.42059697635353405,0.041143003686166135,SOX2,0.9917367237739754
181,Calcium signaling pathway,0.9068143450028558,0.500953755735423,0.04900206459382443,CALML3;IGH,0.9917367237739754
182,Shigellosis,0.9140081148208686,0.48848436085688424,0.04392247636138487,CTTN;PFN2,0.9917367237739754
183,Parkinson disease,0.9174069036405634,0.4824768386279526,0.041591516201355115,UCHL1;CALML3,0.9917367237739754
184,Salmonella infection,0.9174069036405634,0.4824768386279526,0.041591516201355115,GAPDH;PFN2,0.9917367237739754
185,Neuroactive ligand-receptor interaction,0.9206562299526239,0.5280109239872554,0.04364990791695425,NMU;KISS1R;NTS,0.9917367237739754
186,Oxytocin signaling pathway,0.9224158102447987,0.3901381143690912,0.03150723023915835,CALML3,0.9917367237739754
187,Hepatitis C,0.9261994361176489,0.3825766486316945,0.029330504179287273,PPP2R2C,0.9917367237739754
188,Wnt signaling pathway,0.9364816238766152,0.36154202576220923,0.023726332616579807,LGR4,0.9917367237739754
189,cGMP-PKG signaling pathway,0.9375320094935682,0.3593456394384879,0.023179367052651695,CALML3,0.9917367237739754
190,Protein processing in endoplasmic reticulum,0.9415631904112615,0.35081849253462855,0.021124120298002248,ERO1A,0.9917367237739754
191,Alcoholism,0.9545018886375619,0.3221257955202909,0.014999999353815392,CALML3,0.9917367237739754
192,RNA transport,0.9545018886375619,0.3221257955202909,0.014999999353815392,EIF4EBP1,0.9917367237739754
193,Cytokine-cytokine receptor interaction,0.9560162072378773,0.40576645239640696,0.018251542568437144,CXCL13;CXCL14,0.9917367237739754
194,Neutrophil extracellular trap formation,0.9567242148097747,0.3169366907411022,0.014021312746891796,IGH,0.9917367237739754
195,Kaposi sarcoma-associated herpesvirus infection,0.9595198601566866,0.3102701325178389,0.012821064732100323,CALML3,0.9917367237739754
196,Huntington disease,0.9622791973252435,0.39086212463674525,0.0150289006083968,GPX2;DNAH14,0.9917367237739754
197,cAMP signaling pathway,0.97243468257901,0.27675129791622216,0.007735854729459273,CALML3,0.9930045210855796
198,Regulation of actin cytoskeleton,0.9733410652224989,0.274172409419524,0.0074083382913265675,PFN2,0.9930045210855796
199,Ras signaling pathway,0.9789058839676273,0.2573705601228537,0.005487082674704095,CALML3,0.9936632591028176
200,Alzheimer disease,0.9846277623765377,0.32271275973320407,0.004999341975017977,CALML3;GAPDH,0.994474040000303
201,Olfactory transduction,0.999359334427713,0.1339783912561911,8.586285033214259e-05,CALML3,0.9997581295697934
202,Herpes simplex virus 1 infection,0.9997581295697934,0.11798620468991318,2.854082581686212e-05,EIF4EBP1,0.9997581295697934
