Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
47,Receptor Internalization (GO:0031623),7.494028798527191e-05,5.806539235412475,55.15526475909315,CCL14;RAMP2;CALCRL;RAMP3;DMBT1;CAV1;CXCR2;ARRB1;CD36,0.004545845979702345
48,Circulatory System Development (GO:0072359),8.160956831673593e-05,3.4899475524475525,32.85284479546259,ACVRL1;RAMP2;FOXF1;CITED2;NOTCH4;TCF21;TBX5;CRIP1;TGFBR2;CDH5;BMP2;PDLIM2;SOX17;FLRT3;TEK,0.0048472683181461276
49,Sprouting Angiogenesis (GO:0002040),8.776846892542834e-05,5.6712086472322305,52.97367249503733,SEMA5A;CCBE1;NR4A1;RAMP2;ANGPT1;ADTRP;SLIT2;TEK;RECK,0.005106691936865229
50,Positive Regulation Of Vasculature Development (GO:1904018),9.05780631696239e-05,3.8830433023067585,36.1484091997098,SEMA5A;RAMP2;PRKCB;ANXA3;GATA6;EMP2;GATA2;AQP1;CDH5;HYAL1;CTSH;TEK;SASH1,0.005164761161931955
51,Leukocyte Cell-Cell Adhesion (GO:0007159),9.319952220524252e-05,7.888518258426966,73.21150752707997,SELP;PECAM1;OLR1;ITGAL;SELE;JAM2;ICAM1,0.005210036035434244
52,Positive Regulation Of Angiogenesis (GO:0045766),9.59498390627045e-05,3.6266666666666665,33.552777646478376,SEMA5A;RAMP2;PRKCB;ANXA3;GATA6;EMP2;GATA2;KLF4;AQP1;CDH5;HYAL1;CTSH;TEK;SASH1,0.005260634445534049
53,Branching Morphogenesis Of An Epithelial Tube (GO:0048754),0.00010714095817119303,6.369487879540002,58.22581499914854,NOTCH4;TIE1;NKX2-1;TCF21;SLIT2;NPNT;RASIP1;TGFBR2,0.00576337493860512
54,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),0.00011987030223770554,3.2039159902936993,28.9284785547824,CX3CR1;PRKCB;PLA2G1B;CAV1;RTKN2;IRAK3;NLRC4;CFLAR;CLU;AGER;IL6;CAPN3;S100A12;ROR1;CARD16;CD36,0.006328707994068491
55,Gas Transport (GO:0015669),0.0001316765118556523,13.495098039215685,120.58089138243265,HBG2;HBG1;CA2;HBB;HBA1,0.00682563155091754
56,Cellular Response To Hormone Stimulus (GO:0032870),0.00013657413997189815,3.9739883396005107,35.36310328506539,ROBO2;SOCS2;RAMP2;RAMP3;NR4A3;CAV1;LMO2;KLF9;CTSH;ADTRP;SLIT2;TFPI,0.006953087018926458
57,Regulation Of Cell Population Proliferation (GO:0042127),0.00014014208295436855,1.8494493314348102,16.40989347608231,CCL14;KANK2;ACVRL1;CSF3;VIPR1;TNXB;PLA2G1B;RTKN2;ADARB1;AREG;CLU;CXCL5;RERG;GRK5;ADAMTS1;RPS6KA2;CXCR2;CTSH;ADAMTS8;SOX7;TNS2;CCL23;CDKN2B;EDN1;MYOCD;ITGA1;TNFSF13;GKN2;EMP2;LIFR;TBX5;SMAD6;ALOX15B;TGFBR2;BMP5;CLDN5;BMP2;IL6;RGCC;NR4A3;ALDH1A2;COL4A3;MMRN2;AGTR1;SCGB3A1;CD47;FGFR4;HBEGF,0.007009562780752715
58,Extracellular Structure Organization (GO:0043062),0.0001469201662477636,3.6798424220963173,32.47689531320628,ECM2;COL13A1;NDNF;NPNT;ADAMTS1;ADAMTSL4;SPOCK2;COL4A3;MMP28;MMP19;SLC39A8;ADAMTS8;RECK,0.007221886102971966
59,Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),0.00015129791799112184,3.925904466522384,34.53327523731862,ACVRL1;GDF10;CDH5;ZEB2;CDKN2B;BMP2;DAB2;TNXB;CITED2;PPARG;TGFBR2;BMP5,0.007311023121909972
60,External Encapsulating Structure Organization (GO:0045229),0.0001612338842669555,3.64171607137642,31.8018484198342,ECM2;COL13A1;NDNF;NPNT;ADAMTS1;ADAMTSL4;SPOCK2;COL4A3;MMP28;MMP19;SLC39A8;ADAMTS8;RECK,0.007623545820698945
61,Response To Cytokine (GO:0034097),0.0001631133970756351,3.429557216791259,29.90939110518675,CSF3;PID1;MME;SLC11A1;LIFR;IRAK3;AFF3;SELE;SELP;CH25H;LAMP3;ALDH1A2;TIMP3;FOXA2,0.007623545820698945
62,Phagocytosis (GO:0006909),0.0001693542453430607,4.59515670196744,39.90212552335711,SRPX;MSR1;MARCO;TYROBP;CD93;ANXA3;SLC11A1;PECAM1;CD36;CD302,0.0077875637656946144
63,Regulation Of Blood Circulation (GO:1903522),0.00017360548944410372,7.010923845193508,60.70566251806124,PLN;DES;CELF2;FXYD1;AGTR1;AGER;TBX2,0.00785633730801809
64,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),0.0001838225372975496,4.145068267419962,35.653969414649126,BMP2;DAB2;IL6;TNXB;RGCC;GLIPR2;NKX2-1;TBX5;TGFBR2;BMP5;FOXA2,0.008152961563871656
65,Vasculature Development (GO:0001944),0.00018587951653863826,12.267634326457856,105.3840313469262,ACVRL1;CDH5;FOXF1;NOTCH4;TCF21,0.008152961563871656
66,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),0.00019131302695297208,4.518335684062059,38.684180925928494,TGFBR3;CDKN2B;RGCC;CAV2;ALOX5;APOH;CAV1;ATOH8;KLF9;PTPRM,0.008264143027923082
67,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),0.00020388427212381379,3.7883622249268116,32.193343146688065,MUC1;FABP4;EPAS1;CAV1;PRDM16;LEPR;TRPV2;ALPL;G0S2;ADRB1;ADRB2;CD36,0.008675732236193927
68,Cellular Response To Chemokine (GO:1990869),0.00023963634684115928,4.875464788732394,40.64376618469268,CCL14;CCL23;DUSP1;DOCK8;CCL2;PPBP;CXCL3;CXCL2;CXCL5,0.009918915205982417
69,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),0.00024245509226569016,4.372127940306656,36.39662745605832,ACVRL1;TGFBR3;GDF10;CDH5;CLDN5;HPGD;FOS;LRRC32;SMAD6;TGFBR2,0.009918915205982417
70,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),0.00024367174349989554,5.5514443362544625,46.18628789108375,BMP2;DAB2;IL6;TNXB;RGCC;GLIPR2;EMP2;TGFBR2,0.009918915205982417
71,Positive Regulation Of Cell Differentiation (GO:0045597),0.00024701612754288025,2.41756741821397,20.080452607247068,ACVRL1;MSR1;CSF3;TNXB;HGF;LMO3;ZBTB16;ADIRF;NPNT;ALOX15B;TGFBR2;TMEM100;ZFP36;BMP2;DAB2;IL6;RAP1A;RGCC;GLIPR2;AGTR1;PPARG;CD36;HOXA5,0.009918915205982417
72,Positive Regulation Of Protein Phosphorylation (GO:0001934),0.00025185610433411064,2.198118253932053,18.21504244976305,ACVRL1;CX3CR1;CSF3;RAMP3;TNXB;FAXDC2;LRRK2;ARRB1;AGER;RAP1A;LEPR;GDF10;ANGPT1;LIMCH1;HGF;CAV1;SH2D3C;BMP5;TGFBR2;MARCO;BMP2;DAB2;IL6;PECAM1;PPARG;FAM20A;ADTRP;TEK,0.009972802131340964
73,Positive Regulation Of Phagocytosis (GO:0050766),0.00027306439040592373,4.779618889809445,39.220610682145306,FCN1;FCN3;SLC11A1;SFTPD;CCL2;RAB27A;CD47;GATA2;CD300LF,0.010576957329217086
74,Negative Regulation Of Cell Population Proliferation (GO:0008285),0.0002745334417264344,2.1853624747980755,17.920928338403293,ACVRL1;KANK2;GATA6;ADARB1;GATA2;RERG;ADAMTS1;RPS6KA2;ADAMTS8;SOX7;TNS2;CCL23;CDKN2B;MYOCD;ITGA1;SMAD6;TBX5;ALOX15B;BMP5;TGFBR3;BMP2;IL6;RGCC;ALDH1A2;COL4A3;OGN;MMRN2;PPARG,0.010576957329217086
75,Negative Regulation Of Hemostasis (GO:1900047),0.00029248486178813356,17.972027972027973,146.24014652664025,THBD;EDN1;APOH;TFPI,0.010972030802078536
76,Oxygen Transport (GO:0015671),0.00029248486178813356,17.972027972027973,146.24014652664025,HBG2;HBG1;HBB;HBA1,0.010972030802078536
77,Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000649),0.00030255962920202635,6.308848314606742,51.122062672766035,PRKCE;HECW2;FXYD1;NEDD4L;DMD;GPD1L;SCN4B,0.01105894234429458
78,Negative Regulation Of Endothelial Cell Migration (GO:0010596),0.00030255962920202635,6.308848314606742,51.122062672766035,RGCC;APOH;PTPRM;PPARG;SLIT2;AGTR2;DCN,0.01105894234429458
79,Positive Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0010862),0.0003280619154489054,5.280093307262186,42.35853583974247,ACVRL1;GDF10;BMP2;DAB2;TNXB;PPARG;TGFBR2;BMP5,0.011839297733478853
80,Fatty Acid Derivative Biosynthetic Process (GO:1901570),0.0004044708049741779,7.366696417187301,57.55549080292462,GGTLC2;GGTLC1;ALOX5;FAR2;GGT3P;GGT1,0.014236373641745447
81,Negative Regulation Of Wound Healing (GO:0061045),0.0004044708049741779,7.366696417187301,57.55549080292462,THBD;EDN1;MMRN1;ALOX5;APOH;TFPI,0.014236373641745447
82,Defense Response To Bacterium (GO:0042742),0.00042900688453445534,2.6360958998665502,20.440386701834814,COLEC12;ANXA3;PLA2G1B;SLC11A1;SFTPD;DEFA3;DEFA1;NLRC4;RNASE1;AQP1;HLA-E;SELP;FGR;IL6;SLPI;DMBT1;S100A12;TLR3,0.014634078417159111
